Nom_objet	Type_objet	Statut	Type_de_modification	Impact
A_IUD_TA_GG_DOSSIER_LOG	Déclencheur	désactivé	Réactivation	Chaque insertion, modification ou suppression enverra un mail à geotrigger, c'est pour cette raison qu'il avait été désactivé
A_IUD_TA_GG_GEO_LOG	Déclencheur	désactivé	Réactivation	Chaque insertion, modification ou suppression enverra un mail à geotrigger, c'est pour cette raison qu'il avait été désactivé
A_IXX_TA_GG_GEO	Déclencheur	activé	Suppression	La suppression de ce trigger entraînerait la désolidarisation des périmètres et des dossiers de levés.
B_UXX_TA_GG_DOSSIER	Déclencheur	activé	Suppression	Perte du pnom de l'agent ayant modifié le dossier ainsi que la date de la modification + perte de la date de clôture du dossier.
TA_GG_GEO.OBJECTID	Champ	Valide	Modification / Suppression	Désolidarisation du périmètre et du dossier de levé auquel il est affecté. Chaque nouvelle insertion dans ce champ (donc pour toute création d'une nouvelle entité) implique la création d'une nouvelle entité dans TA_GG_DOSSIER via le trigger A_IXX_TA_GG_GEO
TA_GG_DOSSIER.FID_ETAT_AVANCEMENT	Champ	Valide	Modification / Suppression	Perte de l'état d'avancement des dossiers, les géomètres et photo-interprètes ne sauront donc plus où ils en sont.
TA_GG_DOS_NUM	Table	Valide	Suppression	L'impact sera relativement restreint étant donné que cette table contient les anciens identifiants des dossiers qui sont en cours d'abandon. Il faudra simplement que les géomètres perdent l'habitude de se repérer par rapport au DOS_NUM.
V_CREATION_DOS_NUM	Vue	Valide	Suppression	L'impact sera relativement restreint étant donné que cette vue permet de générer les DOS_NUM des dossiers (c-a-d les anciens identifiants) : si un ancien dos_num existe dans TA_GG_DOS_NUM alors il est utilisé, sinon la vue le génère automatiquement.
TA_GG_DOSSIER_LOG	Table	Valide	Suppression	Aucun : cette table est vide pour le moment puisque le trigger A_IUD_TA_GG_DOSSIER_LOG censé la remplir à été désactivé car il ne fonctionne pas comme on voudrait (envoie d'un mail à chaque insertion, modification suppression).
TA_GG_GEO_LOG	Table	Valide	Suppression	Aucun : cette table est vide pour le moment puisque le trigger A_IUD_TA_GG_GEO_LOG censé la remplir à été désactivé car il ne fonctionne pas comme on voudrait (envoie d'un mail à chaque insertion, modification suppression).
